category,pixel_threshold_percentile,pixel_threshold,normal_pixel_false_positive_rate
bottle,99.5,0.615333616733551,0.005000044659870427
cable,99.5,0.7518576383590698,0.005000027743252841
capsule,99.5,0.5772994756698608,0.005000269690225291
carpet,99.5,0.5907754302024841,0.0050002506801060265
grid,99.5,0.5506677031517029,0.005000187800480769
hazelnut,99.5,0.7803642153739929,0.005000187800480769
leather,99.5,0.5314570069313049,0.005000211754623725
metal_nut,99.5,0.7640122771263123,0.005000027743252841
pill,99.5,0.6964455842971802,0.005000276385613208
screw,99.5,0.7242816090583801,0.005000114440917969
tile,99.5,0.7237727642059326,0.005000238833220109
toothbrush,99.5,0.6866161823272705,0.005001068115234375
transistor,99.5,0.7064661979675293,0.005000159853980655
wood,99.5,0.6811984777450562,0.005000211754623725
zipper,99.5,0.516758918762207,0.005000114440917969
