shots,seed,query_images,accuracy,macro_f1,weighted_f1,recall_broken_large,recall_broken_small,recall_contamination
1,0,30,0.5666666666666667,0.5285339786247227,0.5285339786247226,0.9,0.6,0.2
5,0,30,0.7,0.6703296703296703,0.6703296703296703,0.9,0.9,0.3
10,0,30,0.7666666666666667,0.7659958720330238,0.7659958720330238,0.9,0.8,0.6
1,1,30,0.6,0.5485008818342151,0.5485008818342151,0.6,1.0,0.2
5,1,30,0.6,0.6071428571428571,0.6071428571428572,0.7,0.6,0.5
10,1,30,0.7333333333333333,0.7322076978939723,0.7322076978939724,1.0,0.6,0.6
1,2,30,0.6,0.6027629460123739,0.6027629460123739,0.6,0.8,0.4
5,2,30,0.5666666666666667,0.5513770180436848,0.5513770180436847,0.8,0.6,0.3
10,2,30,0.6333333333333333,0.6277521761392729,0.6277521761392729,1.0,0.4,0.5
1,3,30,0.4,0.2793650793650793,0.2793650793650793,1.0,0.0,0.2
5,3,30,0.5666666666666667,0.5416666666666666,0.5416666666666666,1.0,0.3,0.4
10,3,30,0.6666666666666666,0.6576628352490421,0.6576628352490421,1.0,0.4,0.6
1,4,30,0.6,0.5252525252525253,0.5252525252525253,0.9,0.8,0.1
5,4,30,0.7333333333333333,0.7388888888888889,0.7388888888888888,0.8,0.8,0.6
10,4,30,0.7666666666666667,0.7558190601668863,0.7558190601668862,0.9,0.9,0.5
1,5,30,0.4,0.40242272347535507,0.402422723475355,0.3,0.4,0.5
5,5,30,0.7333333333333333,0.738218094255246,0.7382180942552459,0.8,0.6,0.8
10,5,30,0.8,0.7982570806100218,0.7982570806100218,1.0,0.6,0.8
1,6,30,0.36666666666666664,0.3304473304473305,0.33044733044733043,0.6,0.4,0.1
5,6,30,0.7666666666666667,0.7558190601668863,0.7558190601668862,0.9,0.9,0.5
10,6,30,0.7666666666666667,0.7737690631808279,0.7737690631808278,0.9,0.7,0.7
1,7,30,0.6,0.5833333333333334,0.5833333333333334,0.9,0.4,0.5
5,7,30,0.7,0.7047138047138047,0.7047138047138047,0.7,0.7,0.7
10,7,30,0.7,0.6944444444444443,0.6944444444444444,0.9,0.7,0.5
1,8,30,0.36666666666666664,0.3537110232762406,0.35371102327624065,0.3,0.2,0.6
5,8,30,0.4666666666666667,0.4065335753176043,0.40653357531760437,0.7,0.0,0.7
10,8,30,0.7,0.6844444444444445,0.6844444444444444,0.9,0.4,0.8
1,9,30,0.4,0.355379188712522,0.355379188712522,0.7,0.4,0.1
5,9,30,0.6666666666666666,0.6751207729468599,0.6751207729468599,0.7,0.7,0.6
10,9,30,0.7,0.7100653594771241,0.7100653594771241,0.8,0.6,0.7
1,10,30,0.43333333333333335,0.341991341991342,0.34199134199134196,0.5,0.8,0.0
5,10,30,0.7,0.694949494949495,0.6949494949494949,0.6,0.9,0.6
10,10,30,0.7333333333333333,0.7397271952259165,0.7397271952259163,0.8,0.7,0.7
1,11,30,0.6,0.5772332506203474,0.5772332506203474,1.0,0.5,0.3
5,11,30,0.7666666666666667,0.7619047619047619,0.7619047619047618,0.8,0.6,0.9
10,11,30,0.8,0.7840909090909092,0.7840909090909091,0.9,0.5,1.0
1,12,30,0.36666666666666664,0.28571428571428575,0.2857142857142857,0.8,0.3,0.0
5,12,30,0.5,0.47923255323634834,0.4792325532363482,0.8,0.5,0.2
10,12,30,0.7333333333333333,0.74002849002849,0.74002849002849,0.9,0.7,0.6
1,13,30,0.4,0.3490460157126824,0.34904601571268234,0.8,0.3,0.1
5,13,30,0.7333333333333333,0.7367320261437907,0.7367320261437909,0.9,0.6,0.7
10,13,30,0.7333333333333333,0.74002849002849,0.74002849002849,0.9,0.7,0.6
1,14,30,0.43333333333333335,0.33903133903133903,0.33903133903133903,1.0,0.0,0.3
5,14,30,0.7666666666666667,0.7545015371102327,0.7545015371102328,0.8,1.0,0.5
10,14,30,0.7666666666666667,0.76281389748882,0.7628138974888201,0.6,1.0,0.7
1,15,30,0.36666666666666664,0.277306168647425,0.277306168647425,0.8,0.3,0.0
5,15,30,0.5333333333333333,0.4608450092321061,0.460845009232106,1.0,0.5,0.1
10,15,30,0.5666666666666667,0.49788204626914306,0.497882046269143,1.0,0.6,0.1
1,16,30,0.26666666666666666,0.21470746108427266,0.2147074610842727,0.4,0.4,0.0
5,16,30,0.6666666666666666,0.6777777777777777,0.6777777777777778,0.7,0.7,0.6
10,16,30,0.7333333333333333,0.7387066700567845,0.7387066700567845,0.8,0.6,0.8
1,17,30,0.4,0.373015873015873,0.37301587301587297,0.3,0.7,0.2
5,17,30,0.5333333333333333,0.50889085371844,0.5088908537184399,0.4,0.9,0.3
10,17,30,0.5333333333333333,0.5222036417688591,0.5222036417688593,0.6,0.7,0.3
1,18,30,0.43333333333333335,0.42328042328042326,0.4232804232804233,0.6,0.5,0.2
5,18,30,0.6333333333333333,0.6378915202444615,0.6378915202444614,0.6,0.7,0.6
10,18,30,0.7,0.6973063973063973,0.6973063973063972,0.7,0.5,0.9
1,19,30,0.5,0.489064558629776,0.48906455862977605,0.6,0.6,0.3
5,19,30,0.7,0.7029239766081871,0.7029239766081871,0.6,0.7,0.8
10,19,30,0.7,0.7016835016835016,0.7016835016835017,0.6,0.8,0.7
