category,roc_auc,average_precision,accuracy,precision,recall,f1_score,test_seconds_per_image,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
bottle,0.9992063492063492,0.999751984126984,0.9759036144578314,0.9692307692307692,1.0,0.984375,0.037313892771153295,0.9796828834547169,0.7505884995817024,0.05779661615210843
cable,0.931409295352324,0.9625900975336278,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,0.05977446266682818,0.8849812533154148,0.3994141317142299,0.028711649576822918
capsule,0.8974870362983646,0.97629593165156,0.7575757575757576,0.9529411764705882,0.7431192660550459,0.8350515463917526,0.05818657121254188,0.9644022057123485,0.34287796606692783,0.00915203672466856
carpet,1.0,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,0.05835802136804972,0.9795344214873511,0.6217593581608536,0.016016251001602564
grid,0.9482038429406849,0.9831067074843238,0.9230769230769231,0.9636363636363636,0.9298245614035088,0.9464285714285714,0.03437702692388438,0.9777068804599506,0.4316032904133846,0.006913209572816506
hazelnut,0.9900000000000001,0.9949759508308296,0.9363636363636364,1.0,0.9,0.9473684210526315,0.056042832727755676,0.9732802003406575,0.4719108402932249,0.021301963112571022
leather,1.0,1.0000000000000002,0.967741935483871,0.9583333333333334,1.0,0.9787234042553191,0.05603898628971599,0.9958023882212043,0.541823929568113,0.0064844931325604835
metal_nut,0.9628543499511242,0.9916732954422252,0.8782608695652174,0.9876543209876543,0.8602150537634409,0.9195402298850575,0.031118718261385094,0.9036099683686982,0.5615050180085648,0.11716414741847826
pill,0.9421713038734316,0.9897764871602179,0.8083832335329342,0.990990990990991,0.7801418439716312,0.873015873015873,0.03878886047904073,0.9220903682564892,0.4969941368292061,0.03356814812757298
screw,0.5802418528386964,0.7983464886791591,0.31875,0.8571428571428571,0.10084033613445378,0.18045112781954886,0.03735637625068193,0.9726653619115816,0.09956975621373174,0.002493762969970703
tile,0.9797979797979798,0.9924540182280135,0.9230769230769231,0.9746835443037974,0.9166666666666666,0.9447852760736196,0.054620106836868465,0.8962291695645654,0.4249490632046789,0.07037979517227565
toothbrush,0.9694444444444444,0.9875565084059708,0.8809523809523809,0.8571428571428571,1.0,0.9230769230769231,0.06773783571441613,0.9866839755149773,0.4773749950724236,0.015284583682105654
transistor,0.89375,0.9110087713695678,0.88,0.9666666666666667,0.725,0.8285714285714286,0.06674040099955164,0.7366774043616238,0.313898295797502,0.04792861938476563
wood,0.9921052631578947,0.997582039522885,0.9493670886075949,0.9375,1.0,0.967741935483871,0.06317827088722983,0.9390146999602824,0.49155274452794184,0.038625403295589396
zipper,0.96875,0.9912285863689072,0.8940397350993378,0.9813084112149533,0.8823529411764706,0.9292035398230089,0.04113748741786409,0.9480549278173811,0.4972466173313178,0.020689705349751654
