category,defective_images,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
bottle,63,0.9756533633848822,0.7559738956470125,0.0761447482638889
cable,92,0.8797379050310405,0.44130408583823977,0.04681247213612432
capsule,109,0.961993970865483,0.3517066671718139,0.011083200437213303
carpet,89,0.9785451504004691,0.6305200510232568,0.021055071541432584
grid,57,0.976387059916866,0.4454962783092013,0.009460181520696272
hazelnut,70,0.9690018097845247,0.5044908977873355,0.033474513462611606
leather,92,0.9943508638210874,0.5419222216979707,0.008739969004755434
metal_nut,93,0.90546413941027,0.609157586781147,0.1448803973454301
pill,141,0.9204623267717251,0.5116667223719205,0.03975801941350842
screw,119,0.972062790234484,0.12438387645141023,0.0033529586150866596
tile,84,0.8845070941765066,0.4500765447402413,0.09802900041852679
toothbrush,30,0.9832368173818566,0.4866012826712146,0.021398417154947915
transistor,40,0.7298685704547538,0.4222137646199512,0.11982154846191406
wood,60,0.9296732380098356,0.5004560082380727,0.05085678100585937
zipper,119,0.9434249942980232,0.5094257971838825,0.026253323595063025
