category,defect_type,images,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
bottle,broken_large,20,0.9773640182060211,0.8296772653450516,0.11699905395507812
bottle,broken_small,22,0.9938136275510421,0.7910427439698806,0.030681956898082386
bottle,contamination,21,0.9596159165035619,0.6612380734197345,0.08486357189360119
cable,bent_wire,13,0.9754414731264515,0.5280812104526718,0.03859417255108173
cable,cable_swap,12,0.7273491806349826,0.1358282208911925,0.05794525146484375
cable,combined,11,0.8645047897110735,0.4175668722882546,0.06325600363991478
cable,cut_inner_insulation,14,0.9657131045141457,0.6314214530720639,0.04051971435546875
cable,cut_outer_insulation,10,0.8420245653528873,0.2180106974011144,0.015411376953125
cable,missing_cable,12,0.8839745918155262,0.6827543233342259,0.10268529256184895
cable,missing_wire,10,0.9685961088046355,0.6152847071654555,0.02209320068359375
cable,poke_insulation,10,0.9499604250943963,0.4246723140261787,0.023931884765625
capsule,crack,23,0.9901621204322745,0.47082836462881034,0.004850304645040761
capsule,faulty_imprint,22,0.9820700801461187,0.275923821964117,0.006301186301491477
capsule,poke,21,0.9901176700681475,0.40626774158544476,0.0029195149739583335
capsule,scratch,23,0.9624741497895016,0.3287136581459367,0.007161016049592391
capsule,squeeze,20,0.9333953245697143,0.4666048880138639,0.0365936279296875
carpet,color,19,0.9879250332785556,0.7033120763190177,0.018732974403782895
carpet,cut,17,0.9766064589285154,0.8554700907184359,0.04881735409007353
carpet,hole,17,0.9806114610518051,0.8418059284418147,0.022503123563878676
carpet,metal_contamination,17,0.9974764322625645,0.6216008886664541,0.004835240981158088
carpet,thread,19,0.9783323434057469,0.4557592529626194,0.011754086143092105
grid,bent,12,0.9858192272565849,0.4879510791170247,0.010813395182291666
grid,broken,12,0.9900249102216467,0.5083199596446362,0.007006327311197917
grid,glue,11,0.9936010093110407,0.5492658640307271,0.004945234818892045
grid,metal_contamination,11,0.9920027436200447,0.5404793791011318,0.004373723810369318
grid,thread,11,0.9426694602997877,0.4093381007438707,0.020262284712357956
hazelnut,crack,18,0.9645967918654144,0.6703391350619585,0.08393012152777778
hazelnut,cut,17,0.9795918543035791,0.2989291112917854,0.00872802734375
hazelnut,hole,18,0.9870951119336124,0.5663105762555107,0.013292948404947916
hazelnut,print,17,0.9767391862840735,0.49301605893265193,0.02616613051470588
leather,color,19,0.9960588129693513,0.4747006784671599,0.004187332956414474
leather,cut,19,0.9974852923523688,0.6202454095438249,0.004981593081825658
leather,fold,17,0.9933243075654272,0.7351444749508798,0.02512673770680147
leather,glue,19,0.9958311912895093,0.5908837804362328,0.008277491519325659
leather,poke,18,0.9990727707734802,0.7289306146253332,0.002524481879340278
metal_nut,bent,25,0.9561799689133992,0.4375682313669616,0.0203411865234375
metal_nut,color,22,0.9429938206525658,0.39354893978923855,0.023566506125710228
metal_nut,flip,23,0.9591312015013616,0.9412731106695494,0.4821239969004755
metal_nut,scratch,23,0.9330067939388547,0.4739938850688611,0.05904487941576087
pill,color,25,0.9450082580010835,0.26526158448028603,0.002667236328125
pill,combined,17,0.9302039600662355,0.4041279901236049,0.02010839125689338
pill,contamination,21,0.9724008237706407,0.4997235137067725,0.011641729445684524
pill,crack,26,0.901395228350053,0.23266561705163336,0.007781395545372596
pill,faulty_imprint,19,0.9768961367093857,0.5717877241404229,0.026283665707236843
pill,pill_type,9,0.9513361845928099,0.9505586883563748,0.4078199598524306
pill,scratch,24,0.9220257625644557,0.4268260453232055,0.024199803670247395
screw,manipulated_front,24,0.9406845238471945,0.030418556123551734,0.003105799357096354
screw,scratch_head,24,0.9877029704732684,0.1296212346365789,0.002480189005533854
screw,scratch_neck,25,0.9915125533053138,0.23694910864856902,0.00331787109375
screw,thread_side,23,0.9469114326378736,0.029073181901877937,0.002795675526494565
screw,thread_top,23,0.9851618499969207,0.25066135706148207,0.005117001740828804
tile,crack,17,0.9622614856402583,0.2990248338241123,0.022115370806525734
tile,glue_strip,18,0.8917356751885602,0.6177354598068453,0.1110076904296875
tile,gray_stroke,16,0.9391986698773875,0.4458823183888663,0.04217529296875
tile,oil,18,0.9164535741558248,0.6944659782016362,0.1572265625
tile,rough,15,0.8651837079186836,0.5382806824492264,0.15703023274739583
toothbrush,defective,30,0.9832368173818566,0.4866012826712146,0.021398417154947915
transistor,bent_lead,10,0.75661397868785,0.2016216880743242,0.01596527099609375
transistor,cut_lead,10,0.4462360930974094,0.026175798873254108,0.0163726806640625
transistor,damaged_case,10,0.9714700980096085,0.6630636418359154,0.02848663330078125
transistor,misplaced,10,0.7376617999227273,0.7197912643498507,0.41846160888671874
wood,color,8,0.9461154723134696,0.4300229577470222,0.03190040588378906
wood,combined,11,0.9460137365543948,0.5881724310828381,0.05403830788352273
wood,hole,10,0.9661518107651909,0.4131306334884817,0.0114471435546875
wood,liquid,10,0.9770519539987008,0.7152016561593265,0.05241241455078125
wood,scratch,21,0.8978383207793924,0.4450039844008446,0.07443745930989583
zipper,broken_teeth,19,0.9683517544314578,0.6242336046785059,0.016660188373766448
zipper,combined,16,0.9399608323338469,0.5390279477813457,0.04158210754394531
zipper,fabric_border,17,0.979642792994551,0.4964260201400953,0.016866347369025734
zipper,fabric_interior,16,0.9894759201094124,0.7468210636071776,0.0183868408203125
zipper,rough,17,0.8955869022481004,0.5232173905763932,0.044189453125
zipper,split_teeth,18,0.9564043715325277,0.6071461019259003,0.030345492892795138
zipper,squeezed_teeth,16,0.9247894449570844,0.38390644864655843,0.016495704650878906
