category,test_images,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
bottle,83,0.9796828834547169,0.7505884995817024,0.05779661615210843
cable,150,0.8849812533154148,0.3994141317142299,0.028711649576822918
capsule,132,0.9644022057123485,0.34287796606692783,0.00915203672466856
carpet,117,0.9795344214873511,0.6217593581608536,0.016016251001602564
grid,78,0.9777068804599506,0.4316032904133846,0.006913209572816506
hazelnut,110,0.9732802003406575,0.4719108402932249,0.021301963112571022
leather,124,0.9958023882212043,0.541823929568113,0.0064844931325604835
metal_nut,115,0.9036099683686982,0.5615050180085648,0.11716414741847826
pill,167,0.9220903682564892,0.4969941368292061,0.03356814812757298
screw,160,0.9726653619115816,0.09956975621373174,0.002493762969970703
tile,117,0.8962291695645654,0.4249490632046789,0.07037979517227565
toothbrush,42,0.9866839755149773,0.4773749950724236,0.015284583682105654
transistor,100,0.7366774043616238,0.313898295797502,0.04792861938476563
wood,79,0.9390146999602824,0.49155274452794184,0.038625403295589396
zipper,151,0.9480549278173811,0.4972466173313178,0.020689705349751654
